Year;Month;Day;tmmn(degC);tmmx(degC);rmax(%);rmin(%)
1990;3;1;-2,96;11,33;99,99388;47,29692
1990;3;2;-1,07;11,04;99,97687;52,74974
1990;3;3;-1,22;9,3;100;51,94952
1990;3;4;-3,36;9,53;99,99583;47,83711
1990;3;5;-3,71;7,92;99,99714;45,87244
1990;3;6;-5,12;9,56;99,87161;40,46801
1990;3;7;-3,1;13,63;93,31658;40,08116
1990;3;8;-2,1;10,58;96,99319;35,92344
1990;3;9;-3,26;13,34;99,10651;37,58733
1990;3;10;-2,75;8,58;93,42921;32,94193
1990;3;11;-6,86;4,01;98,69735;31,13902
1990;3;12;-8,16;3,46;99,70122;30,48919
1990;3;13;-7,5;6,49;75,5178;25,84939
1990;3;14;-4,99;8,87;99,59457;25,83294
1990;3;15;-5,4;10,54;99,99588;34,76467
1990;3;16;-3,83;14,14;76,3099;30,79913
1990;3;17;1,88;14,47;79,27535;27,50885
1990;3;18;0,47;17,45;95,30048;34,77817
1990;3;19;0,79;17,72;87,64284;27,50165
1990;3;20;0,77;17,79;86,44249;24,2046
1990;3;21;1,12;18,23;81,14774;24,87769
1990;3;22;2,42;18,83;78,39379;22,63754
1990;3;23;-0,12;15,33;98,70673;22,97535
1990;3;24;-1,27;16,89;88,45482;27,1191
1990;3;25;-0,08;17,44;90,32786;26,98455
1990;3;26;-0,35;14,74;90,07969;27,06515
1990;3;27;-1,01;15,53;98,24115;27,81858
1990;3;28;-2,97;11,93;70,43989;21,26489
1990;3;29;-3,22;13,77;65,19761;23,14753
1990;3;30;-1,78;16,37;65,49384;22,85829
1990;3;31;0,45;17,66;61,29865;21,11619
1990;4;1;3,61;19,5;52,80221;20,27131
1990;4;2;2,59;20,51;63,72335;16,69674
1990;4;3;4,01;22,04;56,87517;15,8599
1990;4;4;6,33;21,48;58,61571;17,23112
1990;4;5;6,03;20,35;69,79865;19,01437
1990;4;6;6,14;19,3;78,06198;21,59197
1990;4;7;5,62;17,98;97,08685;26,46111
1990;4;8;1,93;15,61;99,39002;28,10425
1990;4;9;-0,08;17,19;91,89488;25,94679
1990;4;10;2,61;20,06;68,98594;25,11037
1990;4;11;5,62;18,82;68,21107;22,83351
1990;4;12;1,85;18,5;84,7885;24,14518
1990;4;13;4,53;22,08;71,94171;27,10035
1990;4;14;7,23;24,46;64,06602;23,82426
1990;4;15;7,19;24,04;55,21558;17,87873
1990;4;16;7,52;22,35;65,47335;17,73576
1990;4;17;3,49;18,92;99,38151;22,47734
1990;4;18;4,48;19,49;100;38,93003
1990;4;19;5,56;21,23;98,41897;38,92374
1990;4;20;2,97;15,79;99,9928;33,70009
1990;4;21;3,33;16,24;100;44,0247
1990;4;22;2,51;14,14;99,59787;38,70126
1990;4;23;2,14;12,85;100;42,55642
1990;4;24;-1,62;12,94;98,60213;37,7408
1990;4;25;-0,64;16,5;97,07808;38,50738
1990;4;26;1,3;16,65;99,12843;26,76862
1990;4;27;4,57;18,02;90,02626;25,55664
1990;4;28;1,13;14,28;96,82951;35,67669
1990;4;29;-4,04;7,87;82,51285;30,4918
1990;4;30;-3,27;13,17;92,62999;30,38255
1990;5;1;-1,57;16,51;71,348;26,03385
1990;5;2;1,98;17,7;76,6023;22,99735
1990;5;3;3,81;20,22;84,78459;32,4635
